año;municipio;barrios de Barcelona;concepto;estado;valor
2022;Barcelona;el Clot;renta media por persona (€);;17386
2022;Barcelona;el Parc i la Llacuna del Poblenou;población ocupada (%);;66.6
2022;Barcelona;el Parc i la Llacuna del Poblenou;trabajadores de baja calificación (%);;4.6
2022;Barcelona;el Parc i la Llacuna del Poblenou;población con estudios bajos (%);;10
2022;Barcelona;el Parc i la Llacuna del Poblenou;población joven sin estudios postobligatorios (%);;11.2
2022;Barcelona;el Parc i la Llacuna del Poblenou;extranjeros de países de renta baja o media (%);;11.1
2022;Barcelona;el Parc i la Llacuna del Poblenou;renta media por persona (€);;18325
2022;Barcelona;la Vila Olímpica del Poblenou;población ocupada (%);;65.5
2022;Barcelona;la Vila Olímpica del Poblenou;trabajadores de baja calificación (%);;1.8
2022;Barcelona;la Vila Olímpica del Poblenou;población con estudios bajos (%);;4.5
2022;Barcelona;la Vila Olímpica del Poblenou;población joven sin estudios postobligatorios (%);;6
2022;Barcelona;la Vila Olímpica del Poblenou;extranjeros de países de renta baja o media (%);;7.2
2022;Barcelona;la Vila Olímpica del Poblenou;renta media por persona (€);;25939
2022;Barcelona;el Poblenou;población ocupada (%);;70
2022;Barcelona;el Poblenou;trabajadores de baja calificación (%);;4.3
2022;Barcelona;el Poblenou;población con estudios bajos (%);;9.9
2022;Barcelona;el Poblenou;población joven sin estudios postobligatorios (%);;11.1
2022;Barcelona;el Poblenou;extranjeros de países de renta baja o media (%);;9.4
2022;Barcelona;el Poblenou;renta media por persona (€);;18874
2022;Barcelona;Diagonal Mar i el Front Marítim del Poblenou;población ocupada (%);;67.8
2022;Barcelona;Diagonal Mar i el Front Marítim del Poblenou;trabajadores de baja calificación (%);;3.1
2022;Barcelona;Diagonal Mar i el Front Marítim del Poblenou;población con estudios bajos (%);;10.4
2022;Barcelona;Diagonal Mar i el Front Marítim del Poblenou;población joven sin estudios postobligatorios (%);;10.3
2022;Barcelona;Diagonal Mar i el Front Marítim del Poblenou;extranjeros de países de renta baja o media (%);;10.8
2022;Barcelona;Diagonal Mar i el Front Marítim del Poblenou;renta media por persona (€);;20593
2022;Barcelona;el Besòs i el Maresme;población ocupada (%);;52.3
2022;Barcelona;el Besòs i el Maresme;trabajadores de baja calificación (%);;17.4
2022;Barcelona;el Besòs i el Maresme;población con estudios bajos (%);;22
2022;Barcelona;el Besòs i el Maresme;población joven sin estudios postobligatorios (%);;40.5
2022;Barcelona;el Besòs i el Maresme;extranjeros de países de renta baja o media (%);;25.3
2022;Barcelona;el Besòs i el Maresme;renta media por persona (€);;11577
2022;Barcelona;Provençals del Poblenou;población ocupada (%);;68.1
2022;Barcelona;Provençals del Poblenou;trabajadores de baja calificación (%);;7
2022;Barcelona;Provençals del Poblenou;población con estudios bajos (%);;12.1
2022;Barcelona;Provençals del Poblenou;población joven sin estudios postobligatorios (%);;15.8
2022;Barcelona;Provençals del Poblenou;extranjeros de países de renta baja o media (%);;11.1
2022;Barcelona;Provençals del Poblenou;renta media por persona (€);;16402
2022;Barcelona;Sant Martí de Provençals;población ocupada (%);;67.4
2022;Barcelona;Sant Martí de Provençals;trabajadores de baja calificación (%);;8.3
2022;Barcelona;Sant Martí de Provençals;población con estudios bajos (%);;15.8
2022;Barcelona;Sant Martí de Provençals;población joven sin estudios postobligatorios (%);;16.9
2022;Barcelona;Sant Martí de Provençals;extranjeros de países de renta baja o media (%);;11.6
2022;Barcelona;Sant Martí de Provençals;renta media por persona (€);;15546
2022;Barcelona;la Verneda i la Pau;población ocupada (%);;64.8
2022;Barcelona;la Verneda i la Pau;trabajadores de baja calificación (%);;11.2
2022;Barcelona;la Verneda i la Pau;población con estudios bajos (%);;18.1
2022;Barcelona;la Verneda i la Pau;población joven sin estudios postobligatorios (%);;21.6
2022;Barcelona;la Verneda i la Pau;extranjeros de países de renta baja o media (%);;12.4
2022;Barcelona;la Verneda i la Pau;renta media por persona (€);;14188
2022;Barcelona;total;población ocupada (%);;65.6
2022;Barcelona;total;trabajadores de baja calificación (%);;7.6
2022;Barcelona;total;población con estudios bajos (%);;11.9
2022;Barcelona;total;población joven sin estudios postobligatorios (%);;15.4
2022;Barcelona;total;extranjeros de países de renta baja o media (%);;12.9
2022;Barcelona;total;renta media por persona (€);;18404
