Curs;Estudis;Codi àrea territorial;Àrea territorial;Naturalesa;Titularitat;Matrícula concertada (S/N);Sexe;NESE agrupació;NESE descripció;Alumnes matriculats
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;TRANSTORNS QUE CONDICIONEN L'APRENENTATGE;412
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA LLEUGERA;6
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA MITJANA;6
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA PROFUNDA;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA SEVERA;7
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL LLEUGERA;132
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL MODERADA;21
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL SEVERA;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU AUTÒNOM;14
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU DEPENENT;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU SEMIAUTÒNOM;4
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT VISUAL;8
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;PLURIDISCAPACITAT;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;RETARD DEL DESENVOLUPAMENT SENSE ETIOLOGIA CLARA;12
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRANSTORN GREU DE LA CONDUCTA;109
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRASTORN MENTAL GREU;7
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRASTORNS DE L'ESPECTRE AUTISTA;160
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;ALTES CAPACITATS;56
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;ALUMNAT NOUVINGUT;656
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;RETARD GREU DE L'APRENENTATGE;85
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;SITUACIONS SOCIOECONÒMIQUES I/O SOCIOCULTURALS DESAFAVORIDES;1895
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;TRANSTORNS QUE CONDICIONEN L'APRENENTATGE;613
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;NO;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA LLEUGERA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;NO;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL LLEUGERA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;NO;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL MODERADA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;NO;DONA;NECESSITATS EDUCATIVES ESPECIALS;RETARD DEL DESENVOLUPAMENT SENSE ETIOLOGIA CLARA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;NO;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRASTORNS DE L'ESPECTRE AUTISTA;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;NO;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;ALTES CAPACITATS;5
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;NO;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;ALUMNAT NOUVINGUT;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;NO;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;TRANSTORNS QUE CONDICIONEN L'APRENENTATGE;19
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;NO;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU AUTÒNOM;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;NO;HOME;NECESSITATS EDUCATIVES ESPECIALS;PLURIDISCAPACITAT;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;NO;HOME;NECESSITATS EDUCATIVES ESPECIALS;RETARD DEL DESENVOLUPAMENT SENSE ETIOLOGIA CLARA;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;NO;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRASTORNS DE L'ESPECTRE AUTISTA;6
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;NO;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;ALTES CAPACITATS;8
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;NO;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;ALUMNAT NOUVINGUT;9
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;NO;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;TRANSTORNS QUE CONDICIONEN L'APRENENTATGE;53
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL LLEUGERA;34
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL MODERADA;10
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU AUTÒNOM;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT VISUAL;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;RETARD DEL DESENVOLUPAMENT SENSE ETIOLOGIA CLARA;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRANSTORN GREU DE LA CONDUCTA;4
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRASTORNS DE L'ESPECTRE AUTISTA;9
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;ALTES CAPACITATS;64
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;ALUMNAT NOUVINGUT;61
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;RETARD GREU DE L'APRENENTATGE;7
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;SITUACIONS SOCIOECONÒMIQUES I/O SOCIOCULTURALS DESAFAVORIDES;393
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;TRANSTORNS QUE CONDICIONEN L'APRENENTATGE;147
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA LLEUGERA;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA MITJANA;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA SEVERA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL LLEUGERA;47
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL MODERADA;13
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU AUTÒNOM;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU DEPENENT;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU SEMIAUTÒNOM;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT VISUAL;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;RETARD DEL DESENVOLUPAMENT SENSE ETIOLOGIA CLARA;7
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRANSTORN GREU DE LA CONDUCTA;12
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRASTORNS DE L'ESPECTRE AUTISTA;51
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;ALTES CAPACITATS;69
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;ALUMNAT NOUVINGUT;55
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;RETARD GREU DE L'APRENENTATGE;16
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;SITUACIONS SOCIOECONÒMIQUES I/O SOCIOCULTURALS DESAFAVORIDES;461
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;TRANSTORNS QUE CONDICIONEN L'APRENENTATGE;240
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA LLEUGERA;6
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA MITJANA;5
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA PROFUNDA;7
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA SEVERA;4
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL LLEUGERA;229
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL MODERADA;44
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL SEVERA;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU AUTÒNOM;6
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU DEPENENT;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU SEMIAUTÒNOM;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT VISUAL;11
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;PLURIDISCAPACITAT;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;RETARD DEL DESENVOLUPAMENT SENSE ETIOLOGIA CLARA;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRANSTORN GREU DE LA CONDUCTA;27
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRASTORN MENTAL GREU;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRASTORNS DE L'ESPECTRE AUTISTA;53
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;ALTES CAPACITATS;99
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;ALUMNAT NOUVINGUT;458
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;RETARD GREU DE L'APRENENTATGE;280
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;SITUACIONS SOCIOECONÒMIQUES I/O SOCIOCULTURALS DESAFAVORIDES;1424
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;TRANSTORNS QUE CONDICIONEN L'APRENENTATGE;846
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA LLEUGERA;7
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA MITJANA;8
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA PROFUNDA;9
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA SEVERA;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL LLEUGERA;447
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL MODERADA;70
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU AUTÒNOM;8
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU DEPENENT;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU SEMIAUTÒNOM;10
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT VISUAL;12
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;RETARD DEL DESENVOLUPAMENT SENSE ETIOLOGIA CLARA;10
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRANSTORN GREU DE LA CONDUCTA;114
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRASTORN MENTAL GREU;5
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRASTORNS DE L'ESPECTRE AUTISTA;242
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;ALTES CAPACITATS;189
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;ALUMNAT NOUVINGUT;535
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;RETARD GREU DE L'APRENENTATGE;319
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;SITUACIONS SOCIOECONÒMIQUES I/O SOCIOCULTURALS DESAFAVORIDES;1699
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0117;GIRONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;TRANSTORNS QUE CONDICIONEN L'APRENENTATGE;1493
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA MITJANA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA SEVERA;1
